# host=authbc-pi4a
# run_utc=20260729T041536Z
# platform=Linux-6.12.93+rpt-rpi-v8-aarch64-with-glibc2.36
# python=3.12.13
# gpio_backend=gpiod
# duration_s=60.0
# reps=5
# manifest=manifest_d1_baseline_reduced.json
# samples=samples_d1_baseline.csv
# channel=P1
# reduced_utc=2026-07-29T04:27:28.930287+00:00
op,rep,p_idle_w,p_loop_w,delta_p_w,t_loop_s,n_ops,energy_per_op_j,energy_per_op_uj
e2e_frame_pipeline,1,1.90116,2.65683,0.75567,60.00030316500124,379522,0.00011946733613828583,119.467336
e2e_frame_pipeline,2,1.90532,2.66657,0.76125,60.000281724998786,381088,0.0001198541123335742,119.854112
e2e_frame_pipeline,3,1.90719,2.66189,0.7547,60.000300724001136,381281,0.00011876368733149517,118.763687
e2e_frame_pipeline,4,1.90881,2.66187,0.75307,60.000186296998436,380258,0.00011882491458169166,118.824915
e2e_frame_pipeline,5,1.90994,2.66309,0.75316,60.000300484000036,381397,0.00011848442716889886,118.484427
