# host=authbc-pi4a
# run_utc=20260729T045540Z
# platform=Linux-6.12.93+rpt-rpi-v8-aarch64-with-glibc2.36
# python=3.12.13
# gpio_backend=gpiod
# duration_s=60.0
# reps=5
# manifest=manifest_ajson.json
# samples=samples_ajson.csv
# channel=P1
# reduced_utc=2026-07-29T05:02:51.199874+00:00
op,rep,p_idle_w,p_loop_w,delta_p_w,t_loop_s,n_ops,energy_per_op_j,energy_per_op_uj
e2e_frame_pipeline,1,1.92368,2.66444,0.74076,60.000337662000675,372695,0.00011925596488100708,119.255965
e2e_frame_pipeline,2,2.40658,3.22418,0.8176,60.00016097200205,373126,0.00013147398036080106,131.47398
e2e_frame_pipeline,3,2.43125,3.22377,0.79252,60.000269449999905,373620,0.00012727276983829665,127.27277
e2e_frame_pipeline,4,2.3073,2.69158,0.38428,60.00017964700237,374019,6.164621854686717e-05,61.646219
e2e_frame_pipeline,5,1.91366,2.67326,0.7596,60.00017321699852,374287,0.00012176765808549272,121.767658
