# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_capacity
# config_hash=8cc1d50ccf2e3f0c
n_devices,data_rate,batch,payload_bytes,app_period_s,sent_mean,delivered_frac,implied_p_loss,meets_v,seeds,lambda_rec_per_s,aggregate_rec_per_s
2,5,6,218,36.378,198.0,1.0,0.0,1,3,0.16494,0.3299
3,5,6,218,36.378,296.7,1.0,0.0,1,3,0.16494,0.4948
5,5,6,218,36.378,495.0,1.0,0.0,1,3,0.16494,0.8247
8,5,6,218,36.378,791.3,0.86557,0.13443,0,3,0.16494,1.3195
10,5,6,218,36.378,990.0,0.77306,0.22694,0,3,0.16494,1.6494
15,5,6,218,36.378,1484.3,0.70227,0.29773,0,3,0.16494,2.474
20,5,6,218,36.378,1980.0,0.57946,0.42054,0,3,0.16494,3.2987
30,5,6,218,36.378,2968.0,0.4097,0.5903,0,3,0.16494,4.9481
50,5,6,218,36.378,4948.0,0.25317,0.74683,0,3,0.16494,8.2468
