# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_capacity
# config_hash=20638badf797ea09
n_devices,data_rate,batch,payload_bytes,app_period_s,sent_mean,delivered_frac,implied_p_loss,delivered_min,delivered_max,delivered_stdev,seeds_failing_v,meets_v,seeds,lambda_rec_per_s,aggregate_rec_per_s
2,5,6,218,36.378,195.2,0.97166,0.02834,0.84536,1.0,0.05043,8,1,30,0.16494,0.3299
3,5,6,218,36.378,292.9,0.95981,0.04019,0.76792,1.0,0.06338,9,1,30,0.16494,0.4948
4,5,6,218,36.378,390.2,0.92092,0.07908,0.67526,1.0,0.07218,17,0,30,0.16494,0.6597
5,5,6,218,36.378,487.9,0.9167,0.0833,0.69592,1.0,0.07467,17,0,30,0.16494,0.8247
6,5,6,218,36.378,585.8,0.89625,0.10375,0.7398,1.0,0.06681,24,0,30,0.16494,0.9896
8,5,6,218,36.378,781.2,0.87103,0.12897,0.64879,0.97436,0.06948,26,0,30,0.16494,1.3195
10,5,6,218,36.378,976.1,0.82919,0.17081,0.65097,0.92221,0.06438,30,0,30,0.16494,1.6494
