# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=e4_crossover
# config_hash=5e8d7eb6ae0eba70
# ed25519_verify_speedup_vs_bls=33.186
# plausible_kappa_max=0.5
# R_bps=6000000
scheme_pair,rho,b,lambda,delta_bytes,radio_saving_us,extra_cpu_us_med,extra_cpu_us_lo,extra_cpu_us_hi,kappa_star_med,kappa_star_lo,kappa_star_hi,ed_verify_ok,bls_verify_ok,winner_plausible
ed25519_vs_bls,0.5,8,800,24.0,32.0,2030.3468,2030.274,2030.4449,63.4483,63.4461,63.4514,True,False,ed25519
ed25519_vs_bls,0.5,8,2000,24.0,32.0,2030.3468,2030.274,2030.4449,63.4483,63.4461,63.4514,True,False,ed25519
ed25519_vs_bls,1.0,8,50,52.0,69.3333,3016.6619,3016.5451,3016.8099,43.5095,43.5079,43.5117,True,True,ed25519
ed25519_vs_bls,1.0,8,200,52.0,69.3333,3016.6619,3016.5451,3016.8099,43.5095,43.5079,43.5117,True,True,ed25519
ed25519_vs_bls,1.0,8,800,52.0,69.3333,3016.6619,3016.5451,3016.8099,43.5095,43.5079,43.5117,True,False,ed25519
ed25519_vs_bls,1.0,8,2000,52.0,69.3333,3016.6619,3016.5451,3016.8099,43.5095,43.5079,43.5117,True,False,ed25519
ed25519_vs_bls,0.0,16,50,-2.0,-2.6667,522.0158,522.0014,522.04,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,16,200,-2.0,-2.6667,522.0158,522.0014,522.04,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,16,800,-2.0,-2.6667,522.0158,522.0014,522.04,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,16,2000,-2.0,-2.6667,522.0158,522.0014,522.04,inf,inf,inf,True,False,ed25519
ed25519_vs_bls,0.25,16,50,13.0,17.3333,1071.8265,1071.7847,1071.8805,61.8361,61.8337,61.8393,True,True,ed25519
ed25519_vs_bls,0.25,16,200,13.0,17.3333,1071.8265,1071.7847,1071.8805,61.8361,61.8337,61.8393,True,True,ed25519
ed25519_vs_bls,0.25,16,800,13.0,17.3333,1071.8265,1071.7847,1071.8805,61.8361,61.8337,61.8393,True,True,ed25519
ed25519_vs_bls,0.25,16,2000,13.0,17.3333,1071.8265,1071.7847,1071.8805,61.8361,61.8337,61.8393,True,False,ed25519
ed25519_vs_bls,0.5,16,50,28.0,37.3333,1621.6371,1621.5681,1621.7209,43.4367,43.4349,43.439,True,True,ed25519
ed25519_vs_bls,0.5,16,200,28.0,37.3333,1621.6371,1621.5681,1621.7209,43.4367,43.4349,43.439,True,True,ed25519
ed25519_vs_bls,0.5,16,800,28.0,37.3333,1621.6371,1621.5681,1621.7209,43.4367,43.4349,43.439,True,False,ed25519
ed25519_vs_bls,0.5,16,2000,28.0,37.3333,1621.6371,1621.5681,1621.7209,43.4367,43.4349,43.439,True,False,ed25519
ed25519_vs_bls,1.0,16,50,58.0,77.3333,2721.2585,2721.1348,2721.4018,35.1887,35.1871,35.1905,True,True,ed25519
ed25519_vs_bls,1.0,16,200,58.0,77.3333,2721.2585,2721.1348,2721.4018,35.1887,35.1871,35.1905,True,True,ed25519
ed25519_vs_bls,1.0,16,800,58.0,77.3333,2721.2585,2721.1348,2721.4018,35.1887,35.1871,35.1905,True,False,ed25519
ed25519_vs_bls,1.0,16,2000,58.0,77.3333,2721.2585,2721.1348,2721.4018,35.1887,35.1871,35.1905,True,False,ed25519
ed25519_vs_bls,0.0,32,50,-1.0,-1.3333,261.0079,261.0007,261.02,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,32,200,-1.0,-1.3333,261.0079,261.0007,261.02,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,32,800,-1.0,-1.3333,261.0079,261.0007,261.02,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,32,2000,-1.0,-1.3333,261.0079,261.0007,261.02,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.25,32,50,14.5,19.3333,839.1794,839.138,839.2787,43.4058,43.4037,43.411,True,True,ed25519
ed25519_vs_bls,0.25,32,200,14.5,19.3333,839.1794,839.138,839.2787,43.4058,43.4037,43.411,True,True,ed25519
