# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_dcf_residual
# ns3_version=3.41
# config_hash=46f5a413efa7c770
N,mode,seed,frameSize,simTime,goodput_mbps,busy_periods,busy_per_s,transmissions,mean_multiplicity,p_s_measured,p_s_independent,tau_matched,winner_participant_frac,winner_uniform_frac,p_succ_after_collision,p_succ_after_success,rx_ok_node0,rx_drop_node0
50,broadcast,1,1400,10.0,1.2488,4543,504.778,22557,4.96522,0.223421,0.030424,0.098756,0.306473,0.099309,0.267933,0.068966,1149,24321
50,broadcast,2,1400,10.0,1.23536,4543,504.778,22494,4.95135,0.219459,0.030812,0.098472,0.295024,0.099018,0.262623,0.066199,1123,24255
50,broadcast,3,1400,10.0,1.30032,4544,504.889,22285,4.90427,0.233935,0.032164,0.097505,0.308607,0.098089,0.283621,0.070555,1193,23927
50,broadcast,4,1400,10.0,1.30144,4544,504.889,22298,4.90713,0.229313,0.032081,0.097564,0.304204,0.098142,0.281348,0.053743,1200,23829
50,broadcast,5,1400,10.0,1.23088,4543,504.778,22577,4.96962,0.215056,0.030302,0.098846,0.287759,0.099388,0.25582,0.06653,1131,24264
50,unicast,1,1400,10.0,3.33648,7154,794.889,9533,1.33254,0.75664,0.726999,0.01229,0.006291,0.026649,0.617816,0.801219,6087,4811
50,unicast,2,1400,10.0,3.33424,7153,794.778,9551,1.33524,0.756885,0.725183,0.012381,0.009368,0.026703,0.612198,0.803288,6092,4838
50,unicast,3,1400,10.0,3.3264,7138,793.111,9612,1.3466,0.753853,0.717615,0.012763,0.006866,0.026933,0.6107,0.800558,6098,4937
50,unicast,4,1400,10.0,3.25696,7079,786.556,9570,1.35189,0.743325,0.71412,0.01294,0.008336,0.027036,0.611233,0.788864,6003,5020
50,unicast,5,1400,10.0,3.31632,7133,792.556,9565,1.34095,0.752979,0.721367,0.012573,0.007852,0.02682,0.6084,0.800372,6053,4848
