# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_matrix_288B_30seed
# ns3_version=3.41
# config_hash=080876a2c64a0005
N,mode,seed,frameSize,simTime,goodput_mbps
20,broadcast,5,288,5.0,1.47133
20,broadcast,6,288,5.0,1.47732
20,broadcast,7,288,5.0,1.41235
20,broadcast,8,288,5.0,1.43355
20,broadcast,9,288,5.0,1.42848
20,broadcast,10,288,5.0,1.45613
20,broadcast,11,288,5.0,1.4953
20,broadcast,12,288,5.0,1.45751
20,broadcast,13,288,5.0,1.48193
20,broadcast,14,288,5.0,1.46166
20,broadcast,15,288,5.0,1.48838
20,broadcast,16,288,5.0,1.45014
20,broadcast,17,288,5.0,1.46442
20,broadcast,18,288,5.0,1.45843
20,broadcast,19,288,5.0,1.45521
20,broadcast,20,288,5.0,1.4635
20,broadcast,21,288,5.0,1.48977
20,broadcast,22,288,5.0,1.4506
20,broadcast,23,288,5.0,1.46811
20,broadcast,24,288,5.0,1.44
20,broadcast,25,288,5.0,1.46534
20,broadcast,26,288,5.0,1.46534
20,broadcast,27,288,5.0,1.44968
20,broadcast,28,288,5.0,1.46949
20,broadcast,29,288,5.0,1.44507
20,broadcast,30,288,5.0,1.49069
35,unicast,1,288,5.0,2.77862
35,unicast,2,288,5.0,2.78461
35,unicast,3,288,5.0,2.80719
35,unicast,4,288,5.0,2.77955
35,unicast,5,288,5.0,2.7648
35,unicast,6,288,5.0,2.78738
35,unicast,7,288,5.0,2.79291
35,unicast,8,288,5.0,2.79982
35,unicast,9,288,5.0,2.78185
35,unicast,10,288,5.0,2.78415
35,unicast,11,288,5.0,2.80166
35,unicast,12,288,5.0,2.76941
35,unicast,13,288,5.0,2.79475
35,unicast,14,288,5.0,2.77632
35,unicast,15,288,5.0,2.7754
35,unicast,16,288,5.0,2.79521
35,unicast,17,288,5.0,2.77217
35,unicast,18,288,5.0,2.79245
35,unicast,19,288,5.0,2.76111
35,unicast,20,288,5.0,2.80074
35,unicast,21,288,5.0,2.77448
35,unicast,22,288,5.0,2.78692
35,unicast,23,288,5.0,2.79982
35,unicast,24,288,5.0,2.77356
35,unicast,25,288,5.0,2.78922
35,unicast,26,288,5.0,2.78876
35,unicast,27,288,5.0,2.7906
35,unicast,28,288,5.0,2.78922
35,unicast,29,288,5.0,2.79245
35,unicast,30,288,5.0,2.78369
35,broadcast,1,288,5.0,1.02482
35,broadcast,2,288,5.0,0.988877
35,broadcast,3,288,5.0,0.999936
35,broadcast,4,288,5.0,1.02159
35,broadcast,5,288,5.0,0.997632
35,broadcast,6,288,5.0,1.02989
35,broadcast,7,288,5.0,1.00454
35,broadcast,8,288,5.0,0.99625
35,broadcast,9,288,5.0,1.00408
35,broadcast,10,288,5.0,1.01929
35,broadcast,11,288,5.0,1.02574
35,broadcast,12,288,5.0,0.999014
35,broadcast,13,288,5.0,1.05247
35,broadcast,14,288,5.0,1.02528
35,broadcast,15,288,5.0,1.0239
35,broadcast,16,288,5.0,1.02804
35,broadcast,17,288,5.0,1.02851
35,broadcast,18,288,5.0,1.03311
35,broadcast,19,288,5.0,1.00777
35,broadcast,20,288,5.0,1.02159
35,broadcast,21,288,5.0,1.01699
35,broadcast,22,288,5.0,1.03127
35,broadcast,23,288,5.0,1.01007
35,broadcast,24,288,5.0,0.97321
35,broadcast,25,288,5.0,1.01468
35,broadcast,26,288,5.0,1.01606
35,broadcast,27,288,5.0,1.00362
35,broadcast,28,288,5.0,1.02436
35,broadcast,29,288,5.0,1.03588
35,broadcast,30,288,5.0,1.0133
50,unicast,1,288,5.0,2.6284
50,unicast,2,288,5.0,2.63301
50,unicast,3,288,5.0,2.61135
50,unicast,4,288,5.0,2.62564
50,unicast,5,288,5.0,2.61089
50,unicast,6,288,5.0,2.62149
50,unicast,7,288,5.0,2.6284
50,unicast,8,288,5.0,2.63485
50,unicast,9,288,5.0,2.6284
50,unicast,10,288,5.0,2.65928
50,unicast,11,288,5.0,2.63532
50,unicast,12,288,5.0,2.62011
50,unicast,13,288,5.0,2.64591
50,unicast,14,288,5.0,2.62979
50,unicast,15,288,5.0,2.66066
50,unicast,16,288,5.0,2.61274
50,unicast,17,288,5.0,2.63117
50,unicast,18,288,5.0,2.64131
50,unicast,19,288,5.0,2.61642
50,unicast,20,288,5.0,2.63025
50,unicast,21,288,5.0,2.62564
50,unicast,22,288,5.0,2.61919
50,unicast,23,288,5.0,2.6178
50,unicast,24,288,5.0,2.61596
50,unicast,25,288,5.0,2.63209
50,unicast,26,288,5.0,2.60675
50,unicast,27,288,5.0,2.63209
50,unicast,28,288,5.0,2.62979
50,unicast,29,288,5.0,2.62287
50,unicast,30,288,5.0,2.61412
50,broadcast,1,288,5.0,1.03081
50,broadcast,2,288,5.0,1.00961
50,broadcast,3,288,5.0,1.02067
50,broadcast,4,288,5.0,1.04187
50,broadcast,5,288,5.0,1.03634
50,broadcast,6,288,5.0,1.04786
50,broadcast,7,288,5.0,1.02758
50,broadcast,8,288,5.0,1.03173
50,broadcast,9,288,5.0,1.01468
50,broadcast,10,288,5.0,1.03864
50,broadcast,11,288,5.0,1.0626
50,broadcast,12,288,5.0,1.03726
50,broadcast,13,288,5.0,1.04694
50,broadcast,14,288,5.0,1.04371
50,broadcast,15,288,5.0,1.03634
50,broadcast,16,288,5.0,1.04141
50,broadcast,17,288,5.0,1.0474
50,broadcast,18,288,5.0,1.0262
50,broadcast,19,288,5.0,1.02528
50,broadcast,20,288,5.0,1.04694
50,broadcast,21,288,5.0,1.03818
50,broadcast,22,288,5.0,1.05754
50,broadcast,23,288,5.0,1.05062
50,broadcast,24,288,5.0,1.0027
50,broadcast,25,288,5.0,1.0262
50,broadcast,26,288,5.0,1.01975
50,broadcast,27,288,5.0,1.02851
50,broadcast,28,288,5.0,1.00915
50,broadcast,29,288,5.0,1.0497
50,broadcast,30,288,5.0,1.01053
