# schema=authbc.energy.samples/1
# capture_host=DESKTOP-TROHJN7
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# port=/dev/ttyACM0
# baud=115200
# capture_start_utc=20260727T231443Z
ms,window,wtrans,V1,I1_mA,P1_W,V2,I2_mA,P2_W
22248,1,1,5.052,373.1,1.8640,5.212,452.0,2.3560
22268,1,1,5.056,375.5,1.8520,5.212,451.8,2.3520
22288,1,1,5.068,372.6,1.8900,5.216,419.2,2.1880
22308,1,1,5.056,371.9,1.8800,5.216,419.8,2.1880
22328,1,1,5.060,373.6,1.8680,5.220,421.5,2.1980
22348,1,1,5.068,371.8,1.9100,5.220,419.8,2.1880
22368,1,1,5.068,366.4,1.9040,5.216,419.3,2.1880
22388,1,1,5.068,369.2,1.8680,5.216,419.8,2.1980
22408,1,1,5.024,405.4,2.0420,5.216,419.6,2.1880
22428,1,1,5.052,402.4,2.0680,5.220,418.8,2.1860
22448,1,1,5.072,403.5,2.0340,5.216,420.0,2.1920
22468,1,1,5.044,404.5,2.0320,5.220,419.0,2.1860
22488,1,1,5.056,404.6,2.0440,5.220,418.8,2.1920
22508,1,1,5.060,372.8,1.8880,5.220,424.0,2.2120
22528,1,1,5.064,372.5,1.8940,5.220,420.1,2.1920
22548,1,1,5.036,380.6,1.9040,5.216,419.9,2.1880
22568,1,1,5.064,373.3,1.8480,5.216,419.2,2.1880
22588,1,1,5.064,369.4,1.8680,5.220,420.4,2.1860
22608,1,1,5.068,374.6,1.8980,5.220,423.5,2.2080
22628,1,1,5.064,368.5,1.9040,5.216,420.1,2.1920
22648,1,1,5.020,417.0,2.0680,5.224,419.2,2.1860
22668,1,1,5.060,370.8,1.8780,5.220,419.5,2.1860
22688,1,1,5.056,369.9,1.8720,5.220,419.1,2.1960
22708,1,1,5.060,366.7,1.8540,5.220,418.4,2.1860
22728,1,1,5.056,372.5,1.8840,5.220,419.3,2.1860
22748,1,1,5.056,378.3,1.9160,5.212,459.4,2.3920
22768,1,1,5.068,366.8,1.9080,5.220,420.7,2.1860
22788,1,1,5.064,371.4,1.8800,5.220,419.3,2.1880
22808,1,1,5.060,366.3,1.8520,5.220,418.8,2.1860
22828,1,1,5.060,374.2,1.8480,5.220,420.4,2.1920
22848,1,1,5.060,372.6,1.8720,5.216,451.1,2.3520
22868,1,1,5.056,373.7,1.8940,5.216,418.5,2.1920
22888,1,1,5.064,376.4,1.9040,5.220,420.8,2.1920
22908,1,1,5.068,369.9,1.8740,5.224,419.4,2.1880
22928,1,1,5.068,370.8,1.8780,5.220,418.8,2.1860
22948,1,1,5.068,372.3,1.8940,5.220,422.4,2.2020
22968,1,1,5.056,375.0,1.9000,5.220,420.0,2.1860
22988,1,1,5.072,372.1,1.8880,5.220,418.9,2.1920
23008,1,1,5.072,373.2,1.8900,5.220,419.7,2.1880
23028,1,1,5.068,382.8,1.8880,5.220,419.6,2.1880
23048,1,1,5.056,374.7,1.8580,5.216,419.5,2.1880
23068,1,1,5.064,373.5,1.8940,5.220,419.6,2.1880
23088,1,1,5.104,382.3,1.9440,5.220,419.4,2.1960
23108,1,1,5.064,385.1,1.9540,5.220,419.4,2.1880
23128,1,1,5.064,371.7,1.8740,5.220,418.9,2.1860
23148,1,1,5.064,371.2,1.8880,5.220,420.5,2.1920
23168,1,1,5.084,372.1,1.8900,5.216,419.3,2.1860
23188,1,1,5.060,383.0,1.9360,5.220,420.3,2.1920
23208,1,1,5.060,366.1,1.8520,5.220,419.1,2.1880
23228,1,1,5.064,369.3,1.8800,5.220,418.8,2.1860
23248,1,1,5.072,370.9,1.8780,5.220,420.1,2.1920
23268,1,1,5.076,372.5,1.8900,5.220,419.1,2.1920
23288,1,1,5.064,372.0,1.8800,5.220,422.8,2.1880
23308,1,1,5.068,372.7,1.8880,5.216,419.5,2.1880
23328,1,1,5.068,366.6,1.8940,5.220,421.2,2.1960
23348,1,1,5.060,367.6,1.8900,5.220,419.8,2.1880
23368,1,1,5.060,371.4,1.8880,5.220,420.1,2.1860
23388,1,1,5.060,370.6,1.8780,5.220,419.3,2.2020
23408,1,1,5.072,367.7,1.8620,5.216,420.3,2.1960
23428,1,1,5.068,370.8,1.8780,5.220,424.4,2.2160
23448,1,1,5.060,375.1,1.8680,5.216,420.0,2.1920
23468,1,1,5.036,413.0,2.0780,5.212,436.8,2.2120
23488,1,1,5.052,369.9,1.8740,5.220,418.9,2.1820
23508,1,1,5.064,370.4,1.8740,5.220,422.1,2.2020
23528,1,1,5.064,368.0,1.8800,5.216,420.5,2.1920
23548,1,1,5.064,375.0,1.8580,5.220,419.6,2.1880
23568,1,1,5.064,388.8,1.9560,5.212,458.1,2.2320
23588,1,1,5.064,374.1,1.8980,5.220,418.9,2.1920
23608,1,1,5.056,372.7,1.8880,5.220,419.9,2.1920
23628,1,1,5.072,368.6,1.8900,5.220,420.4,2.1920
23648,1,1,5.060,370.5,1.8840,5.220,419.8,2.1880
23668,1,1,5.060,371.5,1.8800,5.212,459.2,2.3980
23688,1,1,5.060,367.0,1.8580,5.220,418.5,2.1860
23708,1,1,5.064,371.1,1.8800,5.220,418.7,2.1820
23728,1,1,5.064,374.3,1.8520,5.220,420.1,2.1920
23748,1,1,5.068,366.1,1.8980,5.216,419.9,2.1920
23768,1,1,5.064,373.1,1.8900,5.224,419.1,2.2240
23788,1,1,5.068,367.4,1.8580,5.220,419.3,2.1880
23808,1,1,5.068,373.5,1.8940,5.216,420.1,2.1920
23828,1,1,5.068,370.8,1.8800,5.220,418.3,2.1820
23848,1,1,5.056,371.9,1.8800,5.220,418.4,2.1820
23868,1,1,5.068,374.3,1.8980,5.220,418.5,2.1960
23888,1,1,5.068,370.8,1.8780,5.216,419.9,2.1860
23908,1,1,5.064,374.4,1.8980,5.220,419.1,2.1880
23928,1,1,5.068,371.2,1.8720,5.220,419.9,2.1880
23948,1,1,5.060,372.2,1.8720,5.220,419.9,2.1880
23968,1,1,5.072,367.1,1.8740,5.212,420.1,2.1920
23988,1,1,5.072,373.3,1.8880,5.220,419.7,2.1860
24008,1,1,5.064,371.5,1.8840,5.216,419.4,2.1880
24028,1,1,5.068,366.6,1.9000,5.216,419.9,2.1880
24048,1,1,5.060,370.1,1.8680,5.216,419.7,2.1880
24068,1,1,5.060,366.8,1.8540,5.216,419.4,2.2060
24088,1,1,5.084,368.0,1.8640,5.220,419.3,2.1920
24108,1,1,5.060,366.5,1.8540,5.216,420.5,2.1960
24128,1,1,5.068,371.2,1.8840,5.220,419.0,2.1860
24148,1,1,5.056,370.8,1.8840,5.220,417.8,2.1800
24168,1,1,5.064,371.5,1.8840,5.220,419.2,2.1920
24188,1,1,5.088,368.3,1.8780,5.220,419.7,2.1860
24208,1,1,5.068,373.7,1.8940,5.216,419.1,2.1880
24228,1,1,5.064,372.3,1.8840,5.216,418.9,2.1860
24248,1,1,5.068,368.9,1.8800,5.220,418.6,2.1820
24268,1,1,5.060,373.1,1.8880,5.220,420.0,2.1880
24288,1,1,5.024,382.4,1.9400,5.220,420.6,2.1960
24308,1,1,5.056,369.9,1.8720,5.220,419.4,2.1880
24328,1,1,5.060,371.3,1.8880,5.220,419.6,2.1880
24348,1,1,5.060,370.4,1.8880,5.220,433.0,2.2580
24368,1,1,5.064,369.4,1.8680,5.220,428.6,2.2380
24388,1,1,5.044,415.8,2.0900,5.216,423.6,2.1860
24408,1,1,5.072,374.2,1.8980,5.216,420.1,2.1920
24428,1,1,5.068,371.7,1.8740,5.220,419.6,2.1880
24448,1,1,5.068,366.6,1.8940,5.220,419.5,2.1880
24468,1,1,5.068,375.4,1.9040,5.220,419.6,2.1880
24488,1,1,5.052,382.4,1.9300,5.208,458.5,2.3920
24508,1,1,5.060,373.7,1.8940,5.216,419.1,2.1860
24528,1,1,5.060,371.5,1.8740,5.220,418.9,2.1860
24548,1,1,5.060,371.6,1.8840,5.220,418.8,2.1860
24568,1,1,5.056,368.3,1.8620,5.220,420.1,2.1860
24588,1,1,5.060,365.4,1.8480,5.220,428.0,2.2640
24608,1,1,5.064,370.9,1.8940,5.220,419.3,2.1860
24628,1,1,5.060,375.4,1.8720,5.220,420.3,2.1920
24648,1,1,5.068,366.6,1.9000,5.220,421.5,2.1980
24668,1,1,5.060,371.0,1.8740,5.220,420.3,2.1820
24688,1,1,5.060,366.3,1.8540,5.224,419.5,2.2080
24708,1,1,5.064,367.0,1.9000,5.220,420.3,2.1960
24728,1,1,5.068,368.6,1.8800,5.220,418.7,2.1860
24748,1,1,5.068,366.6,1.9040,5.220,418.8,2.1860
24768,1,1,5.060,368.6,1.8620,5.220,419.8,2.1860
24788,1,1,5.060,373.5,1.8900,5.216,419.1,2.1860
24808,1,1,5.060,371.7,1.8780,5.216,419.4,2.1880
24828,1,1,5.068,366.1,1.8900,5.216,418.3,2.1820
24848,1,1,5.064,370.2,1.8900,5.220,419.1,2.1860
24868,1,1,5.072,371.5,1.8840,5.220,419.1,2.1920
24888,1,1,5.068,372.9,1.8900,5.216,419.2,2.1880
24908,1,1,5.068,373.7,1.8800,5.220,420.0,2.1920
24928,1,1,5.060,373.3,1.8580,5.216,419.1,2.1880
24948,1,1,5.060,371.2,1.8840,5.220,419.7,2.1880
24968,1,1,5.064,372.8,1.8900,5.216,451.9,2.3560
24988,1,1,5.064,365.8,1.8520,5.212,451.9,2.3560
25008,1,1,5.088,367.8,1.8780,5.212,452.6,2.3600
25028,1,1,5.068,368.9,1.8800,5.212,454.1,2.3660
25048,1,1,5.060,371.3,1.8800,5.224,419.5,2.1880
25068,1,1,5.060,371.7,1.8800,5.216,419.4,2.1960
25088,1,1,5.056,366.5,1.8520,5.220,418.9,2.1920
25108,1,1,5.052,381.3,1.8900,5.220,420.0,2.1920
25128,1,1,5.056,371.2,1.9000,5.220,418.6,2.1860
25148,1,1,5.068,371.2,1.8880,5.216,418.1,2.1820
25168,1,1,5.064,367.6,1.8620,5.216,418.7,2.1860
25188,1,1,5.044,404.4,2.0380,5.220,420.3,2.1880
25208,1,1,5.000,448.3,2.2480,5.224,420.5,2.1960
25228,1,1,5.052,403.4,2.0480,5.220,423.9,2.2120
25248,1,1,5.048,405.7,2.0380,5.220,421.0,2.1960
25268,1,1,5.068,367.5,1.8620,5.216,419.1,2.2160
25288,1,1,5.068,375.8,1.9040,5.216,419.4,2.1920
25308,1,1,5.060,377.8,1.9340,5.212,458.4,2.3920
25328,1,1,5.064,370.9,1.8840,5.220,419.1,2.1860
25348,1,1,5.064,373.2,1.8680,5.220,419.2,2.1860
25368,1,1,5.064,370.3,1.8740,5.216,420.7,2.1960
25388,1,1,5.064,375.7,1.9040,5.220,420.0,2.1860
25408,1,1,5.068,373.4,1.8800,5.216,454.5,2.3700
25428,1,1,5.072,369.1,1.8780,5.220,420.0,2.1920
25448,1,1,5.056,374.6,1.8540,5.220,418.9,2.1860
25468,1,1,5.068,372.3,1.8840,5.220,419.2,2.1920
25488,1,1,5.064,374.9,1.9000,5.220,420.3,2.1860
25508,1,1,5.056,375.1,1.8740,5.220,420.2,2.1920
25528,1,1,5.064,372.0,1.8720,5.220,419.8,2.1880
25548,1,1,5.068,365.6,1.9000,5.220,419.2,2.1860
25568,1,1,5.060,368.3,1.8620,5.220,418.5,2.1880
25588,1,1,5.068,370.7,1.8780,5.220,419.5,2.1860
25608,1,1,5.068,367.5,1.9000,5.216,419.5,2.1880
25628,1,1,5.068,371.7,1.8540,5.220,419.7,2.1880
25648,1,1,5.068,368.8,1.8740,5.220,420.9,2.1960
25668,1,1,5.064,372.1,1.8880,5.216,418.9,2.1960
25688,1,1,5.060,374.5,1.9000,5.220,419.0,2.1920
25708,1,1,5.068,365.7,1.8940,5.216,421.5,2.1980
25728,1,1,5.076,368.3,1.8880,5.220,419.2,2.1860
25748,1,1,5.064,370.6,1.8880,5.220,420.0,2.1920
25768,1,1,5.064,373.2,1.8880,5.220,418.9,2.1960
25788,1,1,5.068,372.2,1.8880,5.220,419.2,2.1920
25808,1,1,5.056,370.8,1.8900,5.220,421.8,2.2020
25828,1,1,5.088,370.9,1.8580,5.216,418.7,2.1860
25848,1,1,5.060,368.2,1.8940,5.220,419.0,2.1860
25868,1,1,5.060,371.0,1.8740,5.220,419.0,2.1880
25888,1,1,5.068,372.5,1.8880,5.220,419.9,2.1880
25908,1,1,5.068,366.4,1.9040,5.216,418.7,2.1820
25928,1,1,5.084,370.5,1.8780,5.220,419.9,2.1880
25948,1,1,5.064,370.3,1.8640,5.220,419.7,2.1880
25968,1,1,5.060,371.7,1.8800,5.220,420.3,2.1880
25988,1,1,5.068,373.5,1.8900,5.220,419.1,2.1860
26008,1,1,5.056,371.0,1.8580,5.220,418.6,2.1820
26028,1,1,5.024,412.6,2.0220,5.220,420.1,2.1920
26048,1,1,5.072,367.3,1.8940,5.220,418.6,2.1860
26068,1,1,5.060,372.4,1.8840,5.216,418.8,2.1920
26088,1,1,5.056,372.0,1.8800,5.220,423.4,2.1960
26108,1,1,5.072,371.5,1.8800,5.220,419.5,2.1880
26128,1,1,5.060,392.9,2.0680,5.216,430.9,2.2520
26148,1,1,5.056,372.3,1.8680,5.220,419.7,2.1880
26168,1,1,5.068,371.7,1.8800,5.220,418.8,2.1920
26188,1,1,5.056,368.7,1.8640,5.220,424.9,2.2080
26208,1,1,5.068,370.9,1.8780,5.220,418.0,2.1820
26228,1,1,5.068,367.4,1.9140,5.216,460.2,2.3960
26248,1,1,5.064,372.2,1.8720,5.220,419.5,2.1880
26268,1,1,5.064,369.1,1.8680,5.220,419.4,2.1880
26288,1,1,5.056,373.1,1.8900,5.216,420.2,2.1860
26308,1,1,5.064,372.5,1.8580,5.220,419.7,2.1880
26328,1,1,5.068,369.2,1.8940,5.220,428.3,2.2340
26348,1,1,5.060,373.1,1.8880,5.220,419.9,2.1880
26368,1,1,5.060,371.5,1.8780,5.220,419.7,2.1960
26388,1,1,5.064,369.9,1.8740,5.220,421.5,2.1860
26408,1,1,5.060,375.0,1.8580,5.216,419.2,2.1880
26428,1,1,5.068,371.3,1.8740,5.220,420.1,2.1920
26448,1,1,5.064,373.2,1.8620,5.220,419.3,2.1860
26468,1,1,5.068,368.8,1.8680,5.220,419.0,2.1920
26488,1,1,5.068,375.4,1.9040,5.216,418.6,2.1880
26508,1,1,5.068,369.3,1.8880,5.220,418.9,2.1920
26528,1,1,5.060,372.2,1.8640,5.220,418.8,2.1860
26548,1,1,5.064,371.4,1.8720,5.216,419.9,2.1880
26568,1,1,5.060,369.2,1.8680,5.212,418.7,2.1960
26588,1,1,5.072,375.5,1.9040,5.220,421.0,2.1880
26608,1,1,5.068,368.9,1.8840,5.220,420.0,2.1920
26628,1,1,5.064,370.0,1.9080,5.220,420.1,2.1920
26648,1,1,5.076,372.3,1.8840,5.220,419.4,2.1880
26668,1,1,5.060,367.2,1.8580,5.220,418.9,2.1920
26688,1,1,5.060,372.6,1.8880,5.216,418.5,2.1860
26708,1,1,5.064,370.0,1.8780,5.216,418.8,2.1860
26728,1,1,5.060,367.2,1.8900,5.220,417.9,2.1800
26748,1,1,5.088,371.1,1.8880,5.216,419.9,2.1880
26768,1,1,5.068,371.5,1.8800,5.220,418.5,2.1860
26788,1,1,5.064,375.2,1.9000,5.220,420.1,2.1880
26808,1,1,5.056,372.6,1.8680,5.220,419.8,2.1880
26828,1,1,5.064,366.9,1.9000,5.220,418.5,2.1820
26848,1,1,5.036,380.4,1.9300,5.220,419.4,2.1880
26868,1,1,5.068,371.2,1.8800,5.216,423.4,2.1960
26888,1,1,5.064,367.9,1.8620,5.220,418.2,2.1820
26908,1,1,5.064,373.2,1.8580,5.220,418.8,2.2240
26928,1,1,5.052,371.6,1.8720,5.220,420.1,2.1920
26948,1,1,5.020,411.1,2.0680,5.216,419.2,2.1880
26968,1,1,5.068,375.1,1.9000,5.220,419.0,2.1880
26988,1,1,5.068,373.3,1.8900,5.220,419.6,2.1980
27008,1,1,5.056,368.7,1.8880,5.216,424.5,2.1960
27028,1,1,5.072,367.9,1.8880,5.220,418.8,2.1860
27048,1,1,5.068,381.9,1.9300,5.212,458.9,2.3920
27068,1,1,5.056,370.7,1.8740,5.216,418.6,2.1820
27088,1,1,5.056,365.6,1.8520,5.220,419.1,2.1920
27108,1,1,5.064,367.6,1.8780,5.220,419.2,2.2080
27128,1,1,5.064,372.3,1.8580,5.220,419.1,2.1860
27148,1,1,5.068,374.8,1.8980,5.220,429.9,2.2420
27168,1,1,5.056,372.7,1.8840,5.216,419.8,2.1860
27188,1,1,5.068,372.0,1.8840,5.220,418.3,2.1820
27208,1,1,5.068,364.8,1.9040,5.216,418.8,2.1860
27228,1,1,5.064,370.7,1.8980,5.220,419.4,2.1880
27248,1,1,5.064,367.9,1.8620,5.224,420.4,2.1920
27268,1,1,5.072,370.8,1.8780,5.220,420.8,2.1860
27288,1,1,5.068,371.4,1.8840,5.220,418.8,2.1960
27308,1,1,5.072,369.4,1.8780,5.220,419.4,2.1880
27328,1,1,5.064,371.8,1.8880,5.216,418.7,2.1820
27348,1,1,5.068,370.8,1.8780,5.220,418.5,2.1860
27368,1,1,5.060,365.7,1.8520,5.216,420.4,2.1860
27388,1,1,5.068,373.8,1.8940,5.220,419.7,2.1920
27408,1,1,5.068,372.5,1.8800,5.220,420.8,2.1960
27428,1,1,5.060,371.9,1.8840,5.216,419.5,2.1880
27448,1,1,5.068,373.0,1.8900,5.220,418.4,2.1820
27468,1,1,5.068,370.2,1.8740,5.220,420.0,2.1860
27488,1,1,5.060,376.3,1.9080,5.220,419.2,2.1880
27508,1,1,5.068,370.9,1.8840,5.220,418.7,2.1860
27528,1,1,5.060,367.0,1.8840,5.224,419.4,2.1880
27548,1,1,5.056,372.1,1.8840,5.220,420.6,2.1960
27568,1,1,5.084,372.4,1.8900,5.216,419.2,2.1920
27588,1,1,5.056,372.2,1.8800,5.216,418.9,2.1920
27608,1,1,5.064,368.1,1.8880,5.220,419.2,2.1880
27628,1,1,5.056,372.3,1.8620,5.220,420.0,2.1920
27648,1,1,5.068,375.9,1.9040,5.216,418.6,2.1860
27668,1,1,5.060,373.2,1.8980,5.216,419.5,2.1860
27688,1,1,5.068,374.5,1.8980,5.220,420.7,2.1960
27708,1,1,5.056,372.8,1.8800,5.216,417.8,2.1820
27728,1,1,5.060,372.8,1.8620,5.220,419.4,2.1880
27748,1,1,5.072,368.0,1.8620,5.212,451.8,2.3560
27768,1,1,5.020,408.6,2.0680,5.212,453.1,2.3560
27788,1,1,5.068,373.5,1.8520,5.212,451.7,2.3600
27808,1,1,5.056,372.0,1.8840,5.212,452.0,2.3560
27828,1,1,5.064,372.1,1.8740,5.216,420.0,2.1920
27848,1,1,5.068,371.5,1.8840,5.220,420.1,2.1920
27868,1,1,5.060,381.5,1.9160,5.216,458.6,2.3560
27888,1,1,5.068,371.5,1.8800,5.220,418.5,2.1880
27908,1,1,5.056,371.5,1.8740,5.220,419.5,2.1880
27928,1,1,5.056,375.7,1.8440,5.220,423.0,2.2060
27948,1,1,5.044,403.3,2.0320,5.220,419.1,2.1880
27968,1,1,5.056,404.9,2.0440,5.216,454.9,2.3960
27988,1,1,5.044,402.4,2.0540,5.220,419.6,2.1860
28008,1,1,5.048,406.5,2.0380,5.220,419.0,2.1860
28028,1,1,5.096,365.9,1.8840,5.220,423.3,2.2080
28048,1,1,5.068,374.4,1.8940,5.220,419.3,2.1860
28068,1,1,5.068,368.9,1.8680,5.220,421.1,2.2280
28088,1,1,5.060,369.6,1.8800,5.220,418.7,2.1860
28108,1,1,5.068,370.5,1.8880,5.220,422.0,2.2020
28128,1,1,5.068,365.9,1.8980,5.224,420.4,2.1920
28148,1,1,5.060,376.1,1.9080,5.224,419.8,2.1880
28168,1,1,5.060,371.3,1.8780,5.220,418.4,2.1860
28188,1,1,5.064,373.3,1.8800,5.220,419.3,2.1880
28208,1,1,5.068,366.6,1.8900,5.220,418.9,2.1860
28228,1,1,5.056,374.4,1.8580,5.220,419.9,2.1880
28248,1,1,5.060,372.5,1.8880,5.220,420.2,2.1920
28268,1,1,5.056,367.2,1.8580,5.216,418.6,2.1880
28288,1,1,5.068,371.4,1.8620,5.220,420.4,2.1860
28308,1,1,5.036,428.5,2.1160,5.220,420.2,2.1920
28328,1,1,5.056,373.8,1.8720,5.220,420.1,2.1920
28348,1,1,5.064,373.1,1.8880,5.220,419.0,2.1860
28368,1,1,5.060,368.0,1.8620,5.216,420.7,2.1960
28388,1,1,5.084,369.3,1.8680,5.220,420.0,2.1920
28408,1,1,5.060,373.6,1.8680,5.224,419.2,2.1860
28428,1,1,5.060,372.7,1.8580,5.220,420.8,2.1960
28448,1,1,5.068,373.2,1.8880,5.220,419.6,2.1880
28468,1,1,5.060,374.2,1.8980,5.220,419.0,2.1920
28488,1,1,5.092,366.6,1.8800,5.220,418.9,2.1920
28508,1,1,5.064,370.0,1.8740,5.220,420.4,2.1920
28528,1,1,5.068,367.0,1.8940,5.220,419.5,2.1880
28548,1,1,5.056,368.3,1.8620,5.220,419.3,2.1860
28568,1,1,5.072,374.2,1.8980,5.220,419.7,2.1860
28588,1,1,5.024,411.9,1.9440,5.220,419.8,2.1860
28608,1,1,5.060,375.3,1.8640,5.216,420.1,2.1920
28628,1,1,5.064,367.2,1.8880,5.220,418.9,2.1860
28648,1,1,5.068,372.6,1.8880,5.224,418.6,2.1860
28668,1,1,5.060,368.2,1.8640,5.220,420.8,2.2340
28688,1,1,5.056,402.7,2.0700,5.212,428.3,2.2020
28708,1,1,5.056,375.3,1.8540,5.216,418.8,2.1860
28728,1,1,5.072,371.3,1.8800,5.220,420.2,2.1920
28748,1,1,5.068,368.8,1.8640,5.220,423.6,2.2080
28768,1,1,5.068,378.3,1.9140,5.220,421.0,2.1920
28788,1,1,5.060,375.9,1.9040,5.216,460.1,2.3960
28808,1,1,5.064,369.6,1.8780,5.220,418.6,2.1860
28828,1,1,5.060,371.7,1.8680,5.220,418.9,2.1860
28848,1,1,5.064,369.2,1.8680,5.220,423.7,2.2080
28868,1,1,5.060,371.8,1.8780,5.220,420.1,2.1820
28888,1,1,5.064,370.7,1.8980,5.220,428.7,2.2320
28908,1,1,5.060,371.1,1.8840,5.216,418.9,2.1860
28928,1,1,5.060,372.1,1.8580,5.220,419.6,2.1880
28948,1,1,5.060,368.9,1.8640,5.220,421.1,2.1960
28968,1,1,5.064,370.2,1.8740,5.216,419.2,2.1920
28988,1,1,5.064,371.8,1.8880,5.220,420.0,2.1880
29008,1,1,5.056,373.2,1.8900,5.220,420.0,2.1920
29028,1,1,5.060,373.7,1.8680,5.220,419.9,2.1920
29048,1,1,5.068,371.2,1.8840,5.216,418.7,2.1860
29068,1,1,5.060,368.4,1.8620,5.220,419.4,2.1920
29088,1,1,5.084,379.9,1.9240,5.220,418.0,2.1920
29108,1,1,5.052,381.4,1.9160,5.220,420.6,2.1960
29128,1,1,5.056,370.7,1.8720,5.216,419.1,2.1880
29148,1,1,5.060,368.5,1.8640,5.220,419.5,2.1880
29168,1,1,5.068,371.1,1.8800,5.216,420.4,2.1820
29188,1,1,5.068,372.4,1.8580,5.220,420.4,2.1880
29208,1,1,5.092,370.0,1.8640,5.220,419.2,2.1880
29228,1,1,5.060,372.0,1.8620,5.220,420.9,2.1960
29248,1,1,5.060,371.4,1.8800,5.220,420.5,2.1920
29268,1,1,5.068,371.8,1.8840,5.220,418.9,2.1920
29288,1,1,5.060,370.5,1.8640,5.216,419.2,2.2020
29308,1,1,5.048,409.5,2.1040,5.220,419.0,2.1860
29328,1,1,5.060,375.1,1.8480,5.220,419.1,2.1880
29348,1,1,5.056,369.2,1.8720,5.216,420.0,2.1920
29368,1,1,5.060,368.6,1.8680,5.224,420.4,2.1860
29388,1,1,5.064,371.0,1.8940,5.224,419.7,2.1960
29408,1,1,5.040,380.3,1.8980,5.220,420.0,2.1920
29428,1,1,5.056,371.6,1.8800,5.220,419.9,2.1880
29448,1,1,5.064,368.3,1.8640,5.216,419.4,2.1880
29468,1,1,5.064,374.1,1.8980,5.216,419.2,2.2380
29488,1,1,5.056,373.8,1.8640,5.220,418.8,2.1920
29508,1,1,5.020,415.3,2.0800,5.216,424.2,2.2160
29528,1,1,5.060,367.2,1.9000,5.220,420.2,2.1880
29548,1,1,5.064,371.2,1.8780,5.220,418.9,2.1860
29568,1,1,5.068,370.9,1.8780,5.220,420.1,2.1860
29588,1,1,5.068,366.7,1.8940,5.220,419.2,2.1920
29608,1,1,5.052,383.9,2.0520,5.212,459.1,2.3960
29628,1,1,5.068,366.4,1.8540,5.220,421.6,2.1980
29648,1,1,5.060,373.7,1.8940,5.220,419.0,2.1860
29668,1,1,5.060,366.4,1.8540,5.220,419.5,2.1800
29688,1,1,5.060,368.3,1.8980,5.220,420.2,2.1860
29708,1,1,5.064,370.7,1.8900,5.220,434.6,2.2640
29728,1,1,5.056,370.0,1.8740,5.220,419.2,2.1880
29748,1,1,5.068,373.5,1.8940,5.220,419.0,2.1860
29768,1,1,5.064,370.6,1.8740,5.220,420.0,2.1860
29788,1,1,5.056,377.8,1.9040,5.212,420.2,2.1860
29808,1,1,5.064,368.8,1.8900,5.216,421.8,2.1980
29828,1,1,5.056,372.1,1.8880,5.220,419.4,2.1880
29848,1,1,5.068,368.8,1.8640,5.220,420.9,2.1980
29868,1,1,5.056,365.6,1.8480,5.216,419.4,2.1880
29888,1,1,5.064,366.6,1.9080,5.220,419.7,2.1860
29908,1,1,5.064,372.2,1.8840,5.220,420.0,2.1920
29928,1,1,5.072,365.7,1.8520,5.220,420.5,2.1920
29948,1,1,5.072,373.8,1.8940,5.220,420.0,2.1920
29968,1,1,5.068,371.8,1.8840,5.216,418.8,2.1860
29988,1,1,5.068,366.7,1.9040,5.220,419.0,2.1880
30008,1,1,5.064,368.2,1.8980,5.216,419.6,2.1880
30028,1,1,5.068,371.3,1.8800,5.216,419.5,2.1880
30048,1,1,5.068,375.7,1.9040,5.220,419.5,2.1880
30068,1,1,5.060,367.0,1.8540,5.220,419.3,2.1820
30088,1,1,5.064,369.6,1.8720,5.220,419.8,2.1860
30108,1,1,5.064,368.7,1.9000,5.220,419.9,2.1920
30128,1,1,5.092,368.0,1.8740,5.216,419.6,2.1880
30148,1,1,5.056,366.6,1.8540,5.220,419.0,2.1860
30168,1,1,5.072,372.8,1.8880,5.216,420.4,2.1880
30188,1,1,5.068,372.1,1.8680,5.220,419.1,2.1860
30208,1,1,5.072,371.3,1.8680,5.220,420.2,2.1920
30228,1,1,5.064,368.4,1.8740,5.220,419.1,2.1880
30248,1,1,5.064,373.3,1.8900,5.220,419.0,2.1860
30268,1,1,5.068,372.1,1.8880,5.220,419.0,2.1920
30288,1,1,5.056,372.3,1.8780,5.220,419.1,2.1920
30308,1,1,5.056,373.3,1.8780,5.220,420.9,2.1980
30328,1,1,5.020,400.9,2.0320,5.216,419.6,2.1860
30348,1,1,5.068,372.3,1.8840,5.216,429.3,2.2380
30368,1,1,5.068,374.1,1.8940,5.220,429.3,2.2940
30388,1,1,5.068,372.3,1.8840,5.220,418.9,2.1880
30408,1,1,5.064,366.0,1.8980,5.220,421.8,2.1980
30428,1,1,5.068,394.7,1.9820,5.212,461.1,2.3980
30448,1,1,5.060,366.0,1.8520,5.220,420.5,2.1920
30468,1,1,5.060,367.6,1.8620,5.220,418.9,2.1920
30488,1,1,5.056,373.8,1.8620,5.220,419.7,2.1920
30508,1,1,5.068,373.0,1.8800,5.212,451.7,2.3520
30528,1,1,5.068,372.1,1.8880,5.212,492.3,2.5620
30548,1,1,5.068,372.1,1.8880,5.212,452.2,2.3560
30568,1,1,5.064,369.8,1.8720,5.212,452.8,2.3600
30588,1,1,5.068,368.8,1.8800,5.220,419.2,2.1920
30608,1,1,5.068,372.6,1.8880,5.220,419.7,2.1880
