# schema=authbc.energy.samples/1
# capture_host=DESKTOP-TROHJN7
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# port=/dev/ttyACM0
# baud=115200
# capture_start_utc=20260727T231443Z
ms,window,wtrans,V1,I1_mA,P1_W,V2,I2_mA,P2_W
1808,0,0,5.056,370.7,1.8780,5.224,419.5,2.1880
1828,0,0,5.072,372.3,1.8880,5.220,417.7,2.1800
1848,0,0,5.060,371.3,1.8880,5.220,419.9,2.1880
1868,0,0,5.092,366.6,1.8880,5.220,419.2,2.1880
1888,0,0,5.056,373.5,1.8940,5.220,419.6,2.1880
1908,0,0,5.056,369.3,1.8680,5.220,420.2,2.1920
1928,0,0,5.068,373.3,1.8900,5.220,420.5,2.1960
1948,0,0,5.060,371.0,1.8720,5.220,419.5,2.1920
1968,0,0,5.020,415.6,1.9160,5.220,419.8,2.1860
1988,0,0,5.072,370.5,1.8780,5.220,418.6,2.1920
2008,0,0,5.064,371.8,1.8840,5.220,419.3,2.1880
2028,0,0,5.064,373.8,1.8580,5.224,420.0,2.1920
2048,0,0,5.060,369.0,1.8840,5.220,419.3,2.1880
2068,0,0,5.040,416.7,2.0840,5.212,436.1,2.2160
2088,0,0,5.068,374.6,1.8980,5.220,418.8,2.1880
2108,0,0,5.064,372.1,1.8840,5.220,419.2,2.1880
2128,0,0,5.052,371.7,1.8720,5.220,420.0,2.1920
2148,0,0,5.060,371.9,1.8800,5.220,420.1,2.1860
2168,0,0,5.060,373.0,1.9440,5.212,460.9,2.4020
2188,0,0,5.064,371.5,1.8780,5.220,419.4,2.1960
2208,0,0,5.068,369.0,1.8680,5.216,419.2,2.1860
2228,0,0,5.060,369.5,1.8840,5.220,419.2,2.1860
2248,0,0,5.068,370.2,1.8900,5.220,419.9,2.1860
2268,0,0,5.072,368.2,1.8940,5.220,424.6,2.2420
2288,0,0,5.072,369.3,1.8720,5.220,420.1,2.1880
2308,0,0,5.068,371.3,1.8840,5.220,419.7,2.1920
2328,0,0,5.064,371.0,1.8620,5.220,419.7,2.1880
2348,0,0,5.068,372.7,1.8720,5.224,421.2,2.1920
2368,0,0,5.060,371.8,1.8620,5.220,420.6,2.1860
2388,0,0,5.068,371.9,1.8880,5.220,420.0,2.1880
2408,0,0,5.064,373.6,1.8900,5.220,420.3,2.1960
2428,0,0,5.064,371.1,1.8720,5.220,420.0,2.1920
